CANDIDATO,NÚMERO,PARTIDO,VOTOS
Salomão Pereira,17500,PSL,1344
Amarelinho,20800,PSC,1329
Tuany,45455,PSDB,1326
Viúva Leandra,19020,PODE,1323
Roberto Valença,15222,MDB,1322
Claudio Paranhos,17321,PSL,1317
Correia Jr,30555,NOVO,1317
Toninho Da Farmacia,10774,REPUBLICANOS,1309
Marcelo Castro,30800,NOVO,1308
Angela Quintanilha,30609,NOVO,1306
Professora Mara Leandro,45107,PSDB,1303
Sargento Janethe,11321,PP,1298
José De Deus,25678,DEM,1295
Everton Gugu,19873,PODE,1295
Renan Becare,11550,PP,1286
Guilherme Boaventura,15777,MDB,1278
Mizael Cassimiro,13132,PT,1270
Bruno Pieri,30123,NOVO,1262
Nelsinho Ferreira,22500,PL,1261
Sargento Lago,11222,PP,1257
Cabo Lígia,22190,PL,1254
Cabo Aliaga,20190,PSC,1249
Jacques Soares,10107,REPUBLICANOS,1235
Léo Onoda,45245,PSDB,1233
Washington Da Farmácia,19119,PODE,1233
Pedro Batista,13333,PT,1228
Sergio Roberto,51699,PATRIOTA,1221
Professor Alves,20138,PSC,1217
Silvio Valdissera,55855,PSD,1215
Fabian Primo Rico,22232,PL,1212
Silvia Siena,25020,DEM,1211
Coronel Coimbra,17050,PSL,1206
Ramon Vellardi,30330,NOVO,1204
Valdomiro Do Fórum Da Saúde,50999,PSOL,1197
Douglas Melo,17320,PSL,1197
Prof Oberto,40895,PSB,1187
Chiquinho Scarpa,55999,PSD,1177
Patricia Navarro,17177,PSL,1167
Adriana Oliveira,22200,PL,1165
Claudio Goulart Tortinho,15651,MDB,1163
Paulinho Paull,10021,REPUBLICANOS,1151
Dr Fabiano Souza Ramos,10222,REPUBLICANOS,1150
Mario Alberto,10712,REPUBLICANOS,1144
Nadais,19833,PODE,1136
Camila Tapia,10101,REPUBLICANOS,1135
Luiz Renato,30011,NOVO,1127
Edmar Silva,13565,PT,1123
Enio,55111,PSD,1117
Maisa Silas,15156,MDB,1100
Carlão Do Social,19030,PODE,1098
Casé Da Bancada Sustentável,43444,PV,1089
Débora Moral,19300,PODE,1084
Geraldo Reis Da Habitação,10211,REPUBLICANOS,1081
Figueiredo Júnior,22153,PL,1081
Pr Paulinho Aleluia,20777,PSC,1080
Edu Domingues,30444,NOVO,1052
Nazaré Braga,40222,PSB,1048
José Rolim,55678,PSD,1039
Damião Oliveira,50500,PSOL,1038
Delegado Pepe,11777,PP,1034
Major Cardoso,17900,PSL,1034
Jamanta,50111,PSOL,1033
Serjão Da Negritude,40017,PSB,1032
Andrea Reis,11333,PP,1031
Mayra Miranda,25010,DEM,1031
Luiz Chagas,17778,PSL,1029
Jairinho,10131,REPUBLICANOS,1023
Renan Poli,45645,PSDB,1015
Gilson Basemóvel,17174,PSL,1014
Pastora Iza,25150,DEM,1013
J P Demasi,50050,PSOL,1013
Ana Graf,17317,PSL,1007
Andreia Ursula,14567,PTB,1003
Reinaldo Fernandes,22444,PL,996
Paula Brum,11888,PP,994
Cabo Ageu,17187,PSL,993
Lucas Wrigg,22292,PL,990
Silvia Nagata,19009,PODE,988
Lilian Alves,10224,REPUBLICANOS,987
Sabrina Spinelli,40230,PSB,980
Soares Alemão,22066,PL,979
Eliane Do Mercadinho,15215,MDB,979
Edmilson Osorio,19008,PODE,978
Dania Lima,10127,REPUBLICANOS,973
Marcia De Thuin,51100,PATRIOTA,973
Aluízio Tonidandel,43777,PV,970
Leandro Braga,20111,PSC,970
Marcos Ms,50299,PSOL,966
