CANDIDATO,NÚMERO,PARTIDO,VOTOS
Isac Alves,33212,PMN,458
Celia,23551,CIDADANIA,457
Alexandre São Black,28808,PRTB,455
Jonas Rocha,12122,PDT,455
Regina Do Bem,70020,AVANTE,454
Dra Flor,77154,SOLIDARIEDADE,454
Flávio Reto,28717,PRTB,453
Luzia Honorato,65789,PC DO B,451
Sérgio Do Bem,27100,DC,451
Policial Luiz Ronda Escolar,28190,PRTB,450
Arthur Vieira,35444,PMB,449
Duia Cabeleireiro,77234,SOLIDARIEDADE,446
Treinador Luiz Souza,33339,PMN,445
Fia A Unica,35099,PMB,438
Frente Negra Antirracista,80100,UP,434
Igor De Franco,28128,PRTB,433
Professora Nilva,77880,SOLIDARIEDADE,431
Fabiola Baani,12040,PDT,431
Valkiria Galega,65001,PC DO B,431
Helô Da Empatia,77028,SOLIDARIEDADE,430
Ronaldo Cesar,12500,PDT,430
Luis Paztel,12300,PDT,427
Naval,15153,MDB,424
Reinaldo Renna,23150,CIDADANIA,422
Irandir,65678,PC DO B,419
Cassio Do Farol,70910,AVANTE,417
Celso Araujo,23555,CIDADANIA,415
Helena Suzuki,36660,PTC,414
Gilberto,77022,SOLIDARIEDADE,414
Betão Motoboy,65201,PC DO B,412
Cristiano Prete,70444,AVANTE,410
Pastor Eugênio,77161,SOLIDARIEDADE,409
Jaaziel Bispo,12181,PDT,409
Nivaldo É O Amor,90800,PROS,408
Anderson Dlogun Ede,12612,PDT,408
Jovito,77017,SOLIDARIEDADE,408
Bombeiro Donizete,70017,AVANTE,405
Angela Mancini,36332,PTC,404
Ricardo Maria,13212,PT,404
Pastora Lilian Ferreira,23233,CIDADANIA,396
Rosi Anequini,65650,PC DO B,396
Alexandre Lima,70211,AVANTE,396
Vera Lins,28310,PRTB,395
Gilvando,33555,PMN,394
Rosangela Barros,77444,SOLIDARIEDADE,391
Maurício Pereira,33016,PMN,388
Gorete Da Silva,77134,SOLIDARIEDADE,388
David Cabelo,33122,PMN,387
Katy Costa,35005,PMB,386
Rone Santos,18777,REDE,381
Professor Sammy,36366,PTC,378
Vivi,36021,PTC,377
Edison Silva,35333,PMB,376
Marcondes Luz,70077,AVANTE,376
Walney Araujo,70400,AVANTE,373
Henrique Vitta,12678,PDT,373
Xico Luz,12356,PDT,372
Moema Arruda,12005,PDT,371
Juliana Dama De Copas,28728,PRTB,370
Sargento Mauricio Cardoso,36038,PTC,368
Prof Silvia Cristina,27047,DC,367
Ricardo Borges,70420,AVANTE,367
Mug,77043,SOLIDARIEDADE,365
Marcão News,28777,PRTB,361
Marco Pachiega,36300,PTC,359
Marcia Diniz,70137,AVANTE,358
Rutinha Da Saúde E Do Social,70076,AVANTE,357
Floriano Junior,70470,AVANTE,356
Milanez,90333,PROS,356
Tais Do Transporte Escolar,70234,AVANTE,355
Adriana,90111,PROS,353
Nene Hypoliti,77000,SOLIDARIEDADE,351
Hamilton Menezes,36789,PTC,351
Waguininho,36010,PTC,351
Prof Nalva,70567,AVANTE,349
Kevin Nunes,65013,PC DO B,349
Severo Ramos,12456,PDT,347
Paiva Farias,70002,AVANTE,347
Eng Elon Bezerra,36002,PTC,347
Marcelino De Souza,77177,SOLIDARIEDADE,346
Umbelino,77100,SOLIDARIEDADE,341
Ana Paula Passos,12410,PDT,341
Vina Guerrero,12900,PDT,339
Fábio Mitsuo,28333,PRTB,338
Henan Santos,33713,PMN,338
Erica Monteiro,12125,PDT,332
Risto Petroff,36666,PTC,332
Lau Ventura,23433,CIDADANIA,332
Farmacêutico Jean,36177,PTC,330
Guilherme Nascimento,35535,PMB,328
Carlos Potência,12776,PDT,327
João Valente,28889,PRTB,324
Nalva Lima,70889,AVANTE,322
Dr Jeferson Mattos,77707,SOLIDARIEDADE,322
Dada Santos,77986,SOLIDARIEDADE,322
Sargento M Antunes,90193,PROS,321
Joelma Do Social,77717,SOLIDARIEDADE,321
Afonso Mingorance,23455,CIDADANIA,320
Eduardo Janela,36336,PTC,320
Luciana Santos,27313,DC,317
Edmar Luz,18300,REDE,316
Jorge Wilson,12990,PDT,315
Tia So,70311,AVANTE,314
Anderson Cruz,12700,PDT,313
Tielen Oliveira,77456,SOLIDARIEDADE,310
Maria De Fatima,77321,SOLIDARIEDADE,307
Bento De Jesus,90777,PROS,306
Fabiola Tatcher,70131,AVANTE,306
Felipe Sales,65665,PC DO B,303
Brito Luca,36162,PTC,302
Vanessa Rocha,33375,PMN,302
Edileuza Cester,28288,PRTB,296
Ganso,70466,AVANTE,295
Regys Lacerda,33444,PMN,294
Sargento Wagner,36146,PTC,292
Luis Do Pantanal,65009,PC DO B,292
Professor Ismael Freire,18330,REDE,290
Paulão,43220,PV,289
Silvia Bittencourt,12656,PDT,289
Pedro Felix,35869,PMB,289
Professor Silvio,65111,PC DO B,288
Flavitcha Maia,28223,PRTB,287
Bere,23200,CIDADANIA,286
Prof Gilmar Lucas,33610,PMN,282
Sophia Vergueiro,12540,PDT,281
Jacira,36234,PTC,279
Márcia Araújo,33290,PMN,279
Carlos Adriano Maia,65012,PC DO B,279
Ribeiro De Souza,23003,CIDADANIA,277
Samuel Lima,77797,SOLIDARIEDADE,277
Monica Nega,23300,CIDADANIA,275
Getúlio Borges,33733,PMN,273
Marcelo Silva,27129,DC,273
Adilio Oliveira,12008,PDT,271
Ivani Cabral,70500,AVANTE,270
Graça Lopes,70078,AVANTE,269
Pimenta Jolokia,33693,PMN,268
Ademir Gomes,36003,PTC,267
Rinaldo Felix,23110,CIDADANIA,266
Robson Trindade,90444,PROS,265
Normando Kleber,28077,PRTB,265
Dr Eco Planet,27800,DC,265
João Zelador,27323,DC,264
Carlos Cunha,23223,CIDADANIA,263
Nildo Ferro,77380,SOLIDARIEDADE,263
Ubuntu Periferia,65313,PC DO B,263
Sergio Garcia,23114,CIDADANIA,262
Genildo Dantas Vigia,12177,PDT,262
Gisele Pontes,27177,DC,260
Claudio Ferreira,23611,CIDADANIA,259
Guanabara,18153,REDE,258
Carlos T'ogun,12292,PDT,258
Brigido Cruz,70270,AVANTE,254
Francisco Freitas,65165,PC DO B,253
Tequinho,23013,CIDADANIA,253
Carlos Mourão Bonetti,28811,PRTB,250
Dr. Ibahim Habib,65800,PC DO B,250
Gleibson Silva,12022,PDT,250
Ivair Moro,70610,AVANTE,249
Moises Maguila,36261,PTC,248
Everaldo Ribeiro,28871,PRTB,247
Pra Leia,36136,PTC,247
Prof Fatima,12010,PDT,245
Serginho Do Povo,12100,PDT,245
Celso Henriques,90999,PROS,244
Vereador Periquito,77359,SOLIDARIEDADE,242
Índio Vigilante,36400,PTC,240
Mané Da Leste,33331,PMN,240
Cleber Cunha Piu,33023,PMN,238
Lilian Bomfim,12987,PDT,238
Luciano Sp,28228,PRTB,235
Luiz Machado,36200,PTC,234
Deyvison Erik Gaspar,27234,DC,234
Cebolinha,36110,PTC,232
Luis Sato,36040,PTC,232
Alexandre Alecrim,28555,PRTB,232
Carlão,65556,PC DO B,231
Pr Hailton Santos,27696,DC,231
Luiza Raiol,28448,PRTB,230
Paulo Purkyt,27072,DC,230
Gisele Casarin,33334,PMN,230
Gian Hiller,12775,PDT,230
Dr. André Luiz,22018,PL,227
Ilmo Honorato,65410,PC DO B,226
Cintia Monteiro,70124,AVANTE,226
Zenilton Bezerra,70112,AVANTE,225
Wilky Andrade,36999,PTC,223
Vera Mães Em Luta,33450,PMN,222
Luciana Carla,70070,AVANTE,222
Rogério Silva,12667,PDT,222
Rogério Santos,12312,PDT,220
Samantha Maguetta,36004,PTC,219
Letícia Oliveira,90124,PROS,218
Robson O Bello Cardoso,23099,CIDADANIA,216
Rubinho Do Povo,65640,PC DO B,216
Bianca De Jesus,70141,AVANTE,216
Jean Barbosa,33333,PMN,216
Edson Rafael Palco,23247,CIDADANIA,215
Bispa Justa,36014,PTC,214
João Paulo Lemos,36501,PTC,214
Salve Jorge,77515,SOLIDARIEDADE,212
Eneas,33777,PMN,212
Arnaldo Torres,70120,AVANTE,212
Rafael Do Uber,27099,DC,212
Raimundo Borges,65444,PC DO B,211
Antonio Marcha Lenta,77233,SOLIDARIEDADE,209
Pedagogo Ronan Goulart,77788,SOLIDARIEDADE,208
Yara Borges,70200,AVANTE,207
Thomazini Alfaiate,27020,DC,205
Edith Ferreira,77550,SOLIDARIEDADE,205
Evânio Da Saúde,70192,AVANTE,204
Karina Massaroto,33388,PMN,204
André Bicho Solto,12888,PDT,204
Angelo Aurichi,27222,DC,200
Ruthinea De Carvalho,12555,PDT,198
Hilda Guerreira,23022,CIDADANIA,197
Rodrigo Sales,70779,AVANTE,197
Jonas Duarte Fernandes,12111,PDT,196
Patrícia Canuto,28123,PRTB,196
Hanna,28999,PRTB,195
Tamar Tania,36600,PTC,195
Morgan Augusto,23111,CIDADANIA,194
Jair Ferro,18088,REDE,193
Valdir Gabriel,70987,AVANTE,192
Maisa Setin,12221,PDT,192
Sargento Carlos Lima,70190,AVANTE,190
Prof. Saad,27000,DC,189
Mario Gouvea,36579,PTC,189
Silvio Raposo,77323,SOLIDARIEDADE,189
Diana Brasilis,12699,PDT,189
Dra Quelin,70370,AVANTE,187
Kako Jorge,33345,PMN,187
Etelma Souza,12117,PDT,186
Camila Bichler,27277,DC,186
Serginho,77756,SOLIDARIEDADE,184
Gorethe Pascoa,77117,SOLIDARIEDADE,184
Cássia Galvão,23173,CIDADANIA,180
Roberto Do Novo São Norberto,65006,PC DO B,179
Malú Nunes,77241,SOLIDARIEDADE,179
Lourival Gomes,90456,PROS,178
Dr Wilson,33577,PMN,178
Rafinha,90600,PROS,176
Shirley Silvério,16016,PSTU,175
Gabriela Perini,12890,PDT,175
Daniel Pereira Tatuzinho,70888,AVANTE,174
Lourivaldo Prates,65222,PC DO B,174
Alberto Shie,27123,DC,173
Simone Speranza,90900,PROS,173
Ronei Silva,35021,PMB,173
Jorge Robson,27110,DC,172
Prof Fernanda Teixeira,33304,PMN,171
Márcio Costa,33013,PMN,170
Professor Abel,36345,PTC,169
Prof Nivaldo Moura,70955,AVANTE,169
Sacerdotte Marcelo Gutierrez,12110,PDT,169
Bianca Soares,77003,SOLIDARIEDADE,169
Dra Marli,23707,CIDADANIA,168
Nilton Gomes,28133,PRTB,168
Dom Sabino,28222,PRTB,167
Denis Duck,18133,REDE,167
Dr Adilson Carvalho,40600,PSB,166
Camilla Martins,23321,CIDADANIA,166
Itália Taxista,36005,PTC,165
Mestre Hélio,65316,PC DO B,165
Vladimir Isidoro,90223,PROS,165
Jeane Moreira,12466,PDT,164
Mãe Flaviah De Iansa,12131,PDT,164
Eduardo Do Livramento,12999,PDT,162
Geraldo De Souza,77178,SOLIDARIEDADE,161
Dr Ademilson Silva Dedi,65011,PC DO B,161
Jorge Tur,90173,PROS,161
Phumaça,23420,CIDADANIA,161
Tania Pereira,35013,PMB,160
Claudio Homem,12001,PDT,159
Edson Guerreiro,77711,SOLIDARIEDADE,158
Giovani Geraldo,90196,PROS,158
Wanda Cavalcante,12600,PDT,158
Jorge Henrique,65002,PC DO B,155
Cicera Do Promorar,70013,AVANTE,154
Sargento Claudino,70001,AVANTE,153
Luis Carlos,90533,PROS,153
Manja,12021,PDT,153
Márcia Assistente Social,33971,PMN,153
Deivid Lopes,33111,PMN,153
Glauce Lima,12200,PDT,152
Marco Antonio Alajo,23231,CIDADANIA,150
Prof. Renato Barbosa,36363,PTC,146
Valdo Tasinaffo,23830,CIDADANIA,145
José Justino,13610,PT,145
Professor Jefferson Ripi,90890,PROS,145
Getson Silva,28004,PRTB,145
Sueli Do Skinão,28234,PRTB,144
Marli Silva,36100,PTC,141
Roseli Gomes,35755,PMB,141
Dra Jhesica Baccari,27607,DC,141
Vilson Cruz,27507,DC,140
Adriana Cicera,90400,PROS,140
Osvaldo Nunes,77020,SOLIDARIEDADE,138
César Cebolinha,28164,PRTB,136
Mario Lopes,36888,PTC,135
Nicolau Rabay,43433,PV,135
Matheus Pereira,28008,PRTB,135
Valter Estevam,27009,DC,134
Marta Elizabeth,28737,PRTB,133
Marlece Campos,35038,PMB,133
Marisa Barros,28029,PRTB,132
Valentim Do Forró,90351,PROS,132
Elcio Munin,27999,DC,131
Profº Afonso Sena,23561,CIDADANIA,130
Bispo David Dias,36645,PTC,130
Vagner Contier,28014,PRTB,128
Gislene Coelho,12112,PDT,128
Prof Marcos Guedes,12220,PDT,127
Daniel Mem,33012,PMN,127
Prof Barretão,18789,REDE,127
Walter Bonetti,70028,AVANTE,126
Maria Regina,70667,AVANTE,125
Anderson Silva,33272,PMN,125
Cleide Modesto,27878,DC,124
Natália Pimenta,29029,PCO,124
Gildo,70678,AVANTE,123
Dr Washington,36188,PTC,123
Ricardo Perenha,12730,PDT,123
André Stark,18019,REDE,123
Maria Lima Passarello,33888,PMN,123
Bety Lima,33003,PMN,123
Toninho Do Diabo,77666,SOLIDARIEDADE,122
Della Monica,23047,CIDADANIA,121
Dr Marcos Caje,36904,PTC,121
Francisco Cabral,12147,PDT,121
Dr Wadão,36743,PTC,119
Lopes,28818,PRTB,119
Miriam Das Flores,65161,PC DO B,119
Edicleia,36148,PTC,118
Cabo Osvaldo,65190,PC DO B,118
Rosana Nascimento,18021,REDE,117
Airton Da Vl Natal,65119,PC DO B,115
Vera Servone,27955,DC,113
J.S José Sebastião,12340,PDT,113
Cida Vf,90013,PROS,113
Simone Machado,36016,PTC,113
Marcelo Godoi,70555,AVANTE,112
Fabio Andrade,14560,PTB,111
Mazinha Strumiello,65997,PC DO B,111
Alexandre Galdi,27555,DC,111
Dra Roberta Prado,27180,DC,111
Rosana Rodrigues,70030,AVANTE,110
Andréia Da Fármacia,77772,SOLIDARIEDADE,110
Ricardo Rocchi Tomataço,28111,PRTB,109
Brígida Caires,77250,SOLIDARIEDADE,109
Sarti,35009,PMB,108
Faccas,12133,PDT,108
J Avus,90311,PROS,107
Jo Lima,90555,PROS,107
Eliseu Santoni,23917,CIDADANIA,106
Anderson Da Acessibilidade,17939,PSL,104
Dr Machado,77758,SOLIDARIEDADE,103
Egberto Beto,27888,DC,103
Ana Claudia,36515,PTC,103
Alex Souza,12155,PDT,102
Milton Angelo,36555,PTC,101
Silvana Abranches,33368,PMN,101
Prof Thais Rocha,33800,PMN,101
Bruno Fuchs,23201,CIDADANIA,99
Robinson Chaguri,28300,PRTB,98
Osvaldinho Da Cuíca,70999,AVANTE,97
Eny Cristina,36091,PTC,97
Renisson Oliveira,35200,PMB,97
Ricardo Gomes,65405,PC DO B,97
Luciane Matahari,28007,PRTB,96
Pr. Joabe,70091,AVANTE,95
Raimundo,65259,PC DO B,94
Eronides Da Saude,65667,PC DO B,93
Vitor Rodrigues,65025,PC DO B,92
Angelo Malfatti,33200,PMN,91
Veterano Longares,27200,DC,91
Corretor João,36360,PTC,90
Pastora Solange Silva,36111,PTC,89
Dinah,77889,SOLIDARIEDADE,89
Luiz Laps,27959,DC,88
Gilson Melo,23102,CIDADANIA,88
Patricia Tavares,70125,AVANTE,88
Luciana Fontes,28500,PRTB,86
Pegadinha,70133,AVANTE,85
Andreia Marquete,77678,SOLIDARIEDADE,85
Kamila Santos,90234,PROS,85
Negritude Cohab,33312,PMN,83
Romildo Fidelis Vigilante,27553,DC,83
Pastor Anderson Domingos,28967,PRTB,82
Jose Leite Filho,23250,CIDADANIA,81
Janaína,65159,PC DO B,81
Jorge Breogan,16600,PSTU,80
Fábio Volante,28200,PRTB,80
Radialista Manoel Liarte,36900,PTC,79
Leticia Pacolli,70010,AVANTE,79
Daniel De Campos,33007,PMN,78
Guga,29329,PCO,78
João Do Tempeiro,27215,DC,76
Pastora Augusta Fonseca,17178,PSL,76
Prof Diogo Alencar,36088,PTC,76
Erick Batista,77012,SOLIDARIEDADE,76
Angelica Assis Protetora,33822,PMN,75
Leila Neres,70074,AVANTE,74
Pr José Jorge,36333,PTC,73
Carmem Maria Uchoa Fernandes,27778,DC,73
Detinho,12814,PDT,73
Viviane Almeyda,12424,PDT,73
Pastor Ferreira,33100,PMN,72
Ferreira,23998,CIDADANIA,72
Carlos Miguel,35018,PMB,70
Hamilton Tinee,28139,PRTB,70
Tersio Sales,36012,PTC,69
Rita De Cassia,12512,PDT,68
William Galo,77773,SOLIDARIEDADE,68
Leila,77700,SOLIDARIEDADE,67
Benjamim,77170,SOLIDARIEDADE,66
Mãe Ge,36009,PTC,65
Brizzola,77749,SOLIDARIEDADE,65
Juliana Moller,33217,PMN,65
Prof Munhoz O Kara Da Moto,70600,AVANTE,65
Professor Cleidson,70900,AVANTE,65
Maria Vanda,90377,PROS,64
Eliana Cezario,16134,PSTU,64
Lindolfo Junior Mineiro,18444,REDE,63
Pastor Douglas Moreira,36233,PTC,63
Bahiano Louco,40033,PSB,63
Junior Love,12586,PDT,61
Vinicius Oliveira,77118,SOLIDARIEDADE,60
Shirley Tamara Jordão,35223,PMB,59
Regiane Cazzarotti,51456,PATRIOTA,59
Andrea Capitulino,17963,PSL,58
Carlos Souto,28202,PRTB,57
Adriana Souza,70631,AVANTE,57
Jô Cristine,70670,AVANTE,57
Vânia Lima,33136,PMN,56
Cidão,23133,CIDADANIA,56
Analú Brinkmann,65221,PC DO B,55
Silvio Voce,28010,PRTB,54
Marcos Da Tiradentes,33707,PMN,53
Cintia Pelli,90078,PROS,51
Anderson O Jovem,10545,REPUBLICANOS,51
Paulo Saboia,65900,PC DO B,50
Claudio Gomes,35135,PMB,50
Malu De Paula,36011,PTC,49
Cris Venancio,12118,PDT,49
Denivia Oliveira,36464,PTC,48
Maristela Machado,27260,DC,48
Ailton Alcântara,90907,PROS,48
José Castro Alfaiate,27333,DC,47
Willians Zé Bonitinho,36800,PTC,47
Bispo Marcos Souza,36190,PTC,46
Danilo Catalano,65995,PC DO B,46
Lourdes Cavalcante Srour,36444,PTC,45
Ligiane Jatobá,36147,PTC,45
Belo Do Transporte,77302,SOLIDARIEDADE,42
Fabio Pi,23001,CIDADANIA,42
Leticia Souza,36216,PTC,42
Gustavo,33123,PMN,41
Domingos Poeta,77929,SOLIDARIEDADE,40
Marcia Santos,35015,PMB,40
Patricia Kiyomi Tani,27050,DC,40
Paulo Franco,28666,PRTB,39
Alle Costa,33500,PMN,39
Carlinhos Jamanta,77160,SOLIDARIEDADE,35
Claudio Jorge,36123,PTC,35
José Carlos Eymael,27027,DC,34
Juliete,33850,PMN,33
Lucy Alves,27400,DC,31
Fernando Magalhães,29829,PCO,31
Luiz Teofilo,70410,AVANTE,30
Rosana,65987,PC DO B,30
Japa,35777,PMB,30
Danilo Xavier,33365,PMN,30
Paulo Lobo,18881,REDE,30
Genes Fernandes,28864,PRTB,29
Arabela Coelho,33144,PMN,28
Jose Roberto,28177,PRTB,28
Néia Andrade,27041,DC,27
Jonas Picirillo,12575,PDT,26
Mirian Da Comunidade,36015,PTC,26
Francisco Muniz,29129,PCO,25
Isaias Soares,23444,CIDADANIA,24
Dalila De Cristo,70101,AVANTE,24
Leandro Sanches,70003,AVANTE,24
Renne Vieira De Carvalho,28112,PRTB,22
Lia Barcelar,27307,DC,22
Marciano,23310,CIDADANIA,22
Roberto Ribeiro,12780,PDT,21
Rogerio Gueiros,90789,PROS,21
D Martins,28036,PRTB,21
Helena Niveus,51516,PATRIOTA,18
André Lameira,29429,PCO,17
Agna Lima,90567,PROS,16
Fernando Boêmio,55031,PSD,15
Quim Nascimento,27187,DC,15
Carmen Miranda,65332,PC DO B,12
Gilson Gomes,36006,PTC,12
Matheus Leão,29229,PCO,10
Osmar Martins,28106,PRTB,10
Pastor Carlos Noa,28027,PRTB,10
Nahim,33999,PMN,9
Eduardo Dos Santos,18007,REDE,9
Eliani Gouveia,27321,DC,7
Dr Flavio Motta,36077,PTC,7
Cristina Araujo,28828,PRTB,7
Maurício Salazar,29929,PCO,7
Gladys,65090,PC DO B,7
Agenor Bisteca,27687,DC,5
Mara Silva,17586,PSL,5
Ronaldo Cardoso,55825,PSD,5
Rose Leila,35020,PMB,4
Vivien Hertwig,29629,PCO,4
Ivonize Angolana,27224,DC,4
Rak Resende,28041,PRTB,4
Laine Feitoza,28018,PRTB,4
André Araujo,18241,REDE,4
Gaby Lima,33170,PMN,4
Daniel Santana De Jesus,29729,PCO,4
Maya Bastos,29529,PCO,4
Eugênio Da Brasilândia,20336,PSC,3
Renata Ribeiro,28006,PRTB,3
Erek Melo,23334,CIDADANIA,3
Luzia Ricciardi,36013,PTC,2
Miriam Plionis,27223,DC,2
Lucia Souza,33021,PMN,2
Bruna Lima,90345,PROS,2
Sou Beto Gil,18301,REDE,1
Professora Cristina,90711,PROS,1
Valéria Tavares,28176,PRTB,1
Paulo Vergani,36171,PTC,0
